episode,avg_score,avg_hits_per_agent,avg_false_positives_per_agent,avg_repeats_per_agent
1,0.20999999046325685,0.5,0.0,0.0
2,-0.00900000035762787,0.0,0.0,0.0
3,0.24500000476837158,0.5,0.0,0.0
4,0.49599995613098147,1.0,0.0,0.0
5,0.5439999580383301,1.0,0.0,0.0
6,-0.01550000011920929,0.0,0.0,0.0
7,0.004999999701976776,0.0,0.0,0.0
8,0.4809999942779541,1.0,0.0,0.0
9,0.2,0.5,0.0,0.0
10,0.411500072479248,1.0,0.0,0.0
11,0.25250003337860105,0.5,0.0,0.0
12,0.027000010013580322,0.0,0.0,0.0
13,0.050500011444091795,0.0,0.0,0.0
14,0.001500004529953003,0.0,0.0,0.0
15,-0.007999995350837707,0.0,0.0,0.0
16,0.3920000076293945,1.0,0.0,0.0
17,0.19749999046325684,0.5,0.0,0.0
18,0.5040000915527344,1.0,0.0,0.0
19,-0.03149999380111694,0.0,0.0,0.0
20,0.32899999618530273,0.5,0.0,0.0
21,0.35500001907348633,0.5,0.0,0.0
22,0.5894999504089355,1.0,0.0,0.0
23,0.2239999771118164,0.5,0.0,0.0
24,-0.07649999856948853,0.0,0.0,0.0
25,0.6139999866485596,1.5,0.0,0.0
26,0.5444999694824219,1.0,0.0,0.0
27,0.5450000286102294,1.0,0.0,0.0
28,0.21499996185302733,0.5,0.0,0.0
29,-0.010999992489814758,0.0,0.0,0.0
30,0.07500001788139343,0.0,0.0,0.0
31,-0.01549999713897705,0.0,0.0,0.0
32,0.16499998569488525,0.5,0.0,0.0
33,0.28500003814697267,0.5,0.0,0.0
34,0.2599999189376831,0.5,0.0,0.0
35,-0.11500002145767212,0.0,0.0,0.0
36,0.2994999885559082,0.5,0.0,0.0
37,0.2450000524520874,0.5,0.0,0.0
38,0.12450001239776612,0.0,0.0,0.0
39,-0.015000003576278686,0.0,0.0,0.0
40,5.960464477539063e-09,0.0,0.0,0.0
41,0.3000000238418579,0.5,0.0,0.0
42,0.28500003814697267,1.0,0.0,0.0
43,0.2645000457763672,0.5,0.0,0.0
44,0.2950000524520874,0.5,0.0,0.0
45,0.35450000762939454,0.5,0.0,0.0
46,0.1535000205039978,0.0,0.0,0.0
47,0.08500002026557922,0.0,0.0,0.0
48,0.14500002861022948,0.0,0.0,0.0
49,0.36449995040893557,0.5,0.0,0.0
50,-0.12600001096725463,0.0,0.0,0.0
51,0.1600000262260437,0.0,0.0,0.0
52,0.1700000286102295,0.0,0.0,0.0
53,0.19499998092651366,0.5,0.0,0.0
54,0.1594999074935913,0.5,0.0,0.0
55,0.5700000762939453,1.0,0.0,0.0
56,0.41399993896484377,0.5,0.0,0.0
57,-0.06250002980232239,0.0,0.0,0.0
58,0.21600003242492677,0.5,0.0,0.0
59,0.10500001907348633,0.0,0.0,0.0
60,0.6400000572204589,1.0,0.0,0.0
61,0.02300000488758087,0.0,0.0,0.0
62,0.11400001049041748,0.0,0.0,0.0
63,0.29000000953674315,0.5,0.0,0.0
64,0.3235000133514404,0.5,0.0,0.0
65,0.1130000114440918,0.0,0.0,0.0
66,0.04950001537799835,0.0,0.0,0.0
67,0.09800001382827758,0.0,0.0,0.0
68,0.14500001668930054,0.0,0.0,0.0
69,0.1445000171661377,0.0,0.0,0.0
70,0.1250000238418579,0.0,0.0,0.0
71,0.14950002431869508,0.0,0.0,0.0
72,0.6314997673034668,1.0,0.0,0.0
73,0.04000001549720764,0.0,0.0,0.0
74,0.1095000147819519,0.0,0.0,0.0
75,0.434999942779541,0.5,0.0,0.0
76,0.17950003147125243,0.0,0.0,0.0
77,0.13500001430511474,0.0,0.0,0.0
78,0.1950000286102295,0.0,0.0,0.0
79,0.20000002384185792,0.0,0.0,0.0
80,-0.06550001502037048,0.0,0.0,0.0
81,0.19000003337860108,0.0,0.0,0.0
82,0.025000005960464478,0.0,0.0,0.0
83,0.18450002670288085,0.0,0.0,0.0
84,0.3245000123977661,0.5,0.0,0.0
85,-0.07549999952316284,0.0,0.0,0.0
86,0.1795000195503235,0.0,0.0,0.0
87,0.18950003385543823,0.0,0.0,0.0
88,0.6150001525878906,1.0,0.0,0.0
89,0.18450002670288085,0.0,0.0,0.0
90,0.18450002670288085,0.0,0.0,0.0
91,0.18450002670288085,0.0,0.0,0.0
92,0.4394999980926514,0.5,0.0,0.0
93,0.07400001883506775,0.5,0.0,0.0
94,-0.08049999475479126,0.0,0.0,0.0
95,0.15450003147125244,0.0,0.0,0.0
96,-0.025999999046325682,0.0,0.0,0.0
97,0.3964998722076416,0.5,0.0,0.0
98,0.1095000147819519,0.0,0.0,0.0
99,0.3440000057220459,0.5,0.0,0.0
100,0.7824996948242188,1.5,0.0,0.0
101,0.27950005531311034,0.5,0.0,0.0
102,0.43399991989135744,0.5,0.0,0.0
103,0.4249999523162842,0.5,0.0,0.0
104,0.28350005149841306,0.5,0.0,0.0
105,-0.09499999284744262,0.0,0.0,0.0
106,0.04850001335144043,0.0,0.0,0.0
107,0.07600001096725464,0.0,0.0,0.0
108,0.6309998989105224,1.0,0.0,0.0
109,-0.025000005960464478,0.0,0.0,0.0
110,0.534999942779541,1.0,0.0,0.0
111,0.24549999237060546,0.5,0.0,0.0
112,0.3514997959136963,0.5,0.0,0.0
113,0.8545001983642578,1.5,0.0,0.0
114,0.11700001955032349,0.0,0.0,0.0
115,0.3169998645782471,0.5,0.0,0.0
116,0.17350002527236938,0.0,0.0,0.0
117,0.04000002145767212,0.0,0.0,0.0
118,0.1790000319480896,0.0,0.0,0.0
119,0.09500001668930054,0.0,0.0,0.0
120,0.09000000953674317,0.0,0.0,0.0
121,0.08500001430511475,0.0,0.0,0.0
122,0.09750001430511475,0.0,0.0,0.0
123,0.009500008821487427,0.0,0.0,0.0
124,0.13000001907348632,0.0,0.0,0.0
125,0.1790000319480896,0.0,0.0,0.0
126,0.3269998550415039,0.5,0.0,0.0
127,0.13750001192092895,0.0,0.0,0.0
128,0.18400002717971803,0.0,0.0,0.0
129,0.15950002670288085,0.0,0.0,0.0
130,0.14400002956390381,0.0,0.0,0.0
131,0.05600001811981201,0.0,0.0,0.0
132,0.13300001621246338,0.0,0.0,0.0
133,0.0585000216960907,0.0,0.0,0.0
134,0.19450002908706665,0.0,0.0,0.0
135,0.3899999618530273,0.5,0.0,0.0
136,0.23400003910064698,0.5,0.0,0.0
137,0.1195000171661377,0.0,0.0,0.0
138,0.174500036239624,0.0,0.0,0.0
139,0.0955000102519989,0.0,0.0,0.0
140,0.3849999189376831,0.5,0.0,0.0
141,-0.0449999988079071,0.0,0.0,0.0
142,-0.0034999996423721313,0.0,0.0,0.0
143,0.07350001335144044,0.0,0.0,0.0
144,0.17500002384185792,0.0,0.0,0.0
145,0.09000000953674317,0.0,0.0,0.0
146,0.10000001192092896,0.0,0.0,0.0
147,0.17950003147125243,0.0,0.0,0.0
148,0.16950002908706666,0.0,0.0,0.0
149,-0.04999999403953552,0.0,0.0,0.0
150,-0.015000000596046448,0.0,0.0,0.0
151,1.097499942779541,2.0,0.0,0.0
152,0.17800002098083495,0.0,0.0,0.0
153,0.36399991512298585,0.5,0.0,0.0
154,0.1790000319480896,0.0,0.0,0.0
155,0.0845000147819519,0.0,0.0,0.0
156,0.4249999523162842,0.5,0.0,0.0
157,0.6945000171661377,1.5,0.0,0.0
158,0.15950002670288085,0.0,0.0,0.0
159,0.18400002717971803,0.0,0.0,0.0
160,0.24000005722045897,0.5,0.0,0.0
161,0.36999998092651365,0.5,0.0,0.0
162,0.174500036239624,0.0,0.0,0.0
163,0.14700002670288087,0.0,0.0,0.0
164,0.42999992370605467,0.5,0.0,0.0
165,0.41449999809265137,0.5,0.0,0.0
166,0.48749990463256837,1.0,0.0,0.0
167,0.07500001192092895,0.0,0.0,0.0
168,0.2890000343322754,0.5,0.0,0.0
169,0.18400003910064697,0.0,0.0,0.0
170,0.0845000147819519,0.0,0.0,0.0
171,0.10000001192092896,0.0,0.0,0.0
172,0.18000003099441528,0.5,0.0,0.0
173,0.13000001907348632,0.0,0.0,0.0
174,0.15400002002716065,0.0,0.0,0.0
175,0.18950003385543823,0.0,0.0,0.0
176,0.17450002431869507,0.0,0.0,0.0
177,0.17300002574920653,0.0,0.0,0.0
178,0.12900002002716066,0.0,0.0,0.0
179,0.1950000286102295,0.0,0.0,0.0
180,0.12350001335144042,0.0,0.0,0.0
181,0.16800003051757811,0.0,0.0,0.0
182,0.16450002193450927,0.0,0.0,0.0
183,0.16800003051757811,0.0,0.0,0.0
184,0.1690000295639038,0.0,0.0,0.0
185,0.4184999942779541,0.5,0.0,0.0
186,0.17350003719329835,0.0,0.0,0.0
187,0.1585000276565552,0.0,0.0,0.0
188,0.014999999105930329,0.0,0.0,0.0
189,0.18900003433227539,0.0,0.0,0.0
190,0.14850002527236938,0.0,0.0,0.0
191,0.11000001430511475,0.0,0.0,0.0
192,0.10000001192092896,0.0,0.0,0.0
193,0.18900003433227539,0.0,0.0,0.0
194,0.1700000286102295,0.0,0.0,0.0
195,0.17300002574920653,0.0,0.0,0.0
196,0.07500001788139343,0.0,0.0,0.0
197,0.14000002145767212,0.0,0.0,0.0
198,0.31100001335144045,0.5,0.0,0.0
199,0.42999992370605467,0.5,0.0,0.0
200,0.4289999961853027,0.5,0.0,0.0
201,0.13000001907348632,0.0,0.0,0.0
202,0.1790000319480896,0.0,0.0,0.0
203,0.07400001287460327,0.0,0.0,0.0
204,0.4294999122619629,0.5,0.0,0.0
205,0.17950003147125243,0.0,0.0,0.0
206,0.3894999027252197,0.5,0.0,0.0
207,0.44499993324279785,0.5,0.0,0.0
208,0.4399999141693115,0.5,0.0,0.0
209,0.1790000319480896,0.0,0.0,0.0
210,0.17400002479553223,0.0,0.0,0.0
211,0.18450002670288085,0.0,0.0,0.0
212,0.41449995040893556,0.5,0.0,0.0
213,0.10000001192092896,0.0,0.0,0.0
