Episode,Total Reward,Hits,False Positives,Repeats,Avg Loss
187,-12.0,2,18,2,0.0
188,0.0,4,16,2,0.0
189,-18.0,1,19,2,0.0
190,-10.0,2,18,1,0.0
191,-24.0,0,20,2,0.0
192,-4.0,4,16,4,0.3715268795688947
193,-18.0,1,19,2,0.0
194,-6.0,3,17,2,0.0
195,-10.0,2,18,1,0.0
196,-22.0,0,20,1,0.0
197,-18.0,1,19,2,0.0
198,-12.0,2,18,2,0.0
199,-20.0,0,20,0,0.0
200,-8.0,3,17,3,0.0
201,-6.0,3,17,2,0.0
202,2.0,4,16,1,0.0
203,-6.0,3,17,2,0.0
204,-16.0,2,18,4,0.0
205,6.0,5,15,2,0.0
206,-22.0,1,19,4,0.0
207,20.0,7,13,1,0.0
208,-2.0,4,16,3,0.0
209,-12.0,2,18,2,0.0
210,-14.0,2,18,3,0.0
211,-12.0,2,18,2,0.0
212,-14.0,2,18,3,0.0
213,-22.0,0,20,1,0.0
214,-4.0,4,16,4,0.0
215,-18.0,1,19,2,0.0
216,4.0,4,16,0,0.0
217,2.0,4,16,1,0.0
218,-8.0,2,18,0,0.0
219,-4.0,3,17,1,0.0
220,-20.0,1,19,3,0.0
221,-12.0,2,18,2,0.0
222,-10.0,2,18,1,0.0
223,-8.0,2,18,0,0.0
224,-16.0,1,19,1,0.3668603152036667
225,2.0,4,16,1,0.0
226,-8.0,2,18,0,0.0
227,-20.0,1,19,3,0.0
228,-16.0,1,19,1,0.0
229,0.0,4,16,2,0.0
230,-12.0,2,18,2,0.0
231,2.0,4,16,1,0.0
232,2.0,4,16,1,0.0
233,6.0,5,15,2,0.0
234,-2.0,4,16,3,0.0
235,2.0,4,16,1,0.0
236,-10.0,3,17,4,0.0
237,-10.0,2,18,1,0.0
238,-18.0,1,19,2,0.0
239,-6.0,3,17,2,0.0
240,-16.0,2,18,4,0.0
241,-10.0,2,18,1,0.0
242,-16.0,2,18,4,0.0
243,-2.0,3,17,0,0.0
244,6.0,5,15,2,0.0
245,2.0,4,16,1,0.0
246,6.0,5,15,2,0.0
247,6.0,5,15,2,0.0
248,14.0,6,14,1,0.0
249,-2.0,3,17,0,0.0
250,-14.0,1,19,0,0.0
251,-6.0,3,17,2,0.0
252,6.0,5,15,2,0.0
253,2.0,4,16,1,0.0
254,-16.0,2,18,4,0.0
255,-12.0,2,18,2,0.0
256,-20.0,1,19,3,0.37065399686495465
257,-2.0,3,17,0,0.0
258,-12.0,2,18,2,0.0
259,-4.0,3,17,1,0.0
260,2.0,4,16,1,0.0
261,-20.0,0,20,0,0.0
262,-14.0,2,18,3,0.0
263,-12.0,2,18,2,0.0
264,0.0,4,16,2,0.0
265,-20.0,1,19,3,0.0
266,-8.0,3,17,3,0.0
267,-16.0,1,19,1,0.0
268,-22.0,1,19,4,0.0
269,-18.0,1,19,2,0.0
270,-6.0,3,17,2,0.0
271,0.0,4,16,2,0.0
272,-26.0,0,20,3,0.0
273,-4.0,3,17,1,0.0
274,-14.0,2,18,3,0.0
275,6.0,5,15,2,0.0
276,2.0,4,16,1,0.0
277,-6.0,3,17,2,0.0
278,-2.0,4,16,3,0.0
279,-14.0,1,19,0,0.0
280,-14.0,2,18,3,0.0
281,2.0,4,16,1,0.0
282,-4.0,4,16,4,0.0
283,-10.0,2,18,1,0.0
284,-14.0,2,18,3,0.0
285,-14.0,2,18,3,0.0
286,-18.0,1,19,2,0.0
287,0.0,4,16,2,0.0
288,-12.0,2,18,2,0.36426891883214313
289,-14.0,1,19,0,0.0
290,-4.0,5,15,7,0.0
291,-22.0,1,19,4,0.0
292,-24.0,0,20,2,0.0
293,-22.0,1,19,4,0.0
294,-4.0,4,16,4,0.0
295,-2.0,4,16,3,0.0
296,-10.0,2,18,1,0.0
297,-12.0,2,18,2,0.0
298,-12.0,2,18,2,0.0
299,-20.0,1,19,3,0.0
300,-14.0,2,18,3,0.0
301,-16.0,1,19,1,0.0
302,-8.0,3,17,3,0.0
303,12.0,6,14,2,0.0
304,-22.0,1,19,4,0.0
305,-6.0,3,17,2,0.0
306,22.0,8,12,3,0.0
307,-8.0,3,17,3,0.0
308,14.0,7,13,4,0.0
309,-10.0,2,18,1,0.0
310,-12.0,2,18,2,0.0
311,0.0,4,16,2,0.0
312,-8.0,3,17,3,0.0
313,12.0,6,14,2,0.0
314,16.0,6,14,0,0.0
315,0.0,4,16,2,0.0
316,16.0,6,14,0,0.0
317,-22.0,0,20,1,0.0
318,-4.0,4,16,4,0.0
319,-14.0,2,18,3,0.0
320,0.0,4,16,2,0.3831407204270363
321,-10.0,3,17,4,0.0
322,-4.0,3,17,1,0.0
323,8.0,5,15,1,0.0
324,-10.0,2,18,1,0.0
325,4.0,4,16,0,0.0
326,-2.0,3,17,0,0.0
327,8.0,6,14,4,0.0
328,-6.0,3,17,2,0.0
329,2.0,4,16,1,0.0
330,-12.0,2,18,2,0.0
331,-4.0,3,17,1,0.0
332,-12.0,2,18,2,0.0
333,4.0,4,16,0,0.0
334,-8.0,3,17,3,0.0
335,6.0,5,15,2,0.0
336,-16.0,1,19,1,0.0
337,-4.0,4,16,4,0.0
338,-12.0,3,17,5,0.0
339,2.0,5,15,4,0.0
340,-2.0,5,15,6,0.0
341,2.0,4,16,1,0.0
342,8.0,5,15,1,0.0
343,-4.0,3,17,1,0.0
344,10.0,5,15,0,0.0
345,-10.0,2,18,1,0.0
346,0.0,4,16,2,0.0
347,0.0,4,16,2,0.0
348,-10.0,2,18,1,0.0
349,2.0,5,15,4,0.0
350,-4.0,3,17,1,0.0
351,-4.0,3,17,1,0.0
352,2.0,4,16,1,0.3900447686513265
353,-10.0,2,18,1,0.0
354,-2.0,3,17,0,0.0
355,-4.0,3,17,1,0.0
356,10.0,5,15,0,0.0
357,-16.0,1,19,1,0.0
358,-4.0,3,17,1,0.0
359,6.0,5,15,2,0.0
360,4.0,4,16,0,0.0
361,-16.0,1,19,1,0.0
362,-8.0,2,18,0,0.0
363,0.0,4,16,2,0.0
364,2.0,5,15,4,0.0
365,-4.0,4,16,4,0.0
366,-16.0,1,19,1,0.0
367,16.0,6,14,0,0.0
368,-4.0,3,17,1,0.0
369,0.0,4,16,2,0.0
370,-18.0,1,19,2,0.0
371,-10.0,3,17,4,0.0
372,-10.0,3,17,4,0.0
373,-10.0,2,18,1,0.0
374,4.0,5,15,3,0.0
375,-4.0,3,17,1,0.0
376,-4.0,3,17,1,0.0
377,-12.0,2,18,2,0.0
378,8.0,5,15,1,0.0
379,-12.0,2,18,2,0.0
380,-10.0,3,17,4,0.0
381,-10.0,2,18,1,0.0
382,6.0,5,15,2,0.0
383,-16.0,2,18,4,0.0
384,-18.0,2,18,5,0.39110830922921497
385,-28.0,0,20,4,0.0
386,-14.0,2,18,3,0.0
387,-6.0,3,17,2,0.0
388,10.0,6,14,3,0.0
389,4.0,4,16,0,0.0
390,2.0,4,16,1,0.0
391,-4.0,4,16,4,0.0
392,18.0,7,13,2,0.0
393,6.0,5,15,2,0.0
394,-12.0,2,18,2,0.0
395,-8.0,2,18,0,0.0
396,20.0,7,13,1,0.0
397,-30.0,0,20,5,0.0
398,-16.0,2,18,4,0.0
399,-14.0,2,18,3,0.0
400,-22.0,1,19,4,0.0
401,-22.0,1,19,4,0.0
402,10.0,6,14,3,0.0
403,2.0,4,16,1,0.0
404,-12.0,2,18,2,0.0
405,2.0,5,15,4,0.0
406,-12.0,2,18,2,0.0
407,-12.0,2,18,2,0.0
408,-14.0,1,19,0,0.0
409,34.0,10,10,3,0.0
410,-10.0,2,18,1,0.0
411,-4.0,3,17,1,0.0
412,-12.0,2,18,2,0.0
413,-16.0,1,19,1,0.0
414,4.0,5,15,3,0.0
415,0.0,4,16,2,0.0
416,0.0,4,16,2,0.3788801257809003
417,-6.0,3,17,2,0.0
418,28.0,9,11,3,0.0
419,-2.0,4,16,3,0.0
420,2.0,4,16,1,0.0
421,-6.0,3,17,2,0.0
422,-24.0,0,20,2,0.0
423,-16.0,2,18,4,0.0
424,14.0,7,13,4,0.0
425,16.0,7,13,3,0.0
426,12.0,6,14,2,0.0
427,-8.0,3,17,3,0.0
428,-2.0,4,16,3,0.0
429,-20.0,1,19,3,0.0
430,-2.0,5,15,6,0.0
431,-6.0,3,17,2,0.0
432,8.0,5,15,1,0.0
433,14.0,6,14,1,0.0
434,-24.0,0,20,2,0.0
435,8.0,5,15,1,0.0
436,-16.0,2,18,4,0.0
437,-8.0,3,17,3,0.0
438,-4.0,3,17,1,0.0
439,-10.0,3,17,4,0.0
440,6.0,5,15,2,0.0
441,28.0,9,11,3,0.0
442,8.0,5,15,1,0.0
443,30.0,9,11,2,0.0
