Episode,AverageReward,Hits,FalsePositives,Repeats
93,-1.5050000324845314,0,5,7
94,-1.4450000282377005,0,4,8
95,3.4899999015033245,2,2,9
96,-1.600000023841858,0,5,6
97,-1.5050000380724669,0,5,7
98,-1.3900000220164657,0,6,5
99,-1.6000000340864062,0,4,9
100,-1.2450000206008554,0,6,4
101,3.854999914765358,2,4,2
102,4.0650001261383295,2,1,5
103,1.404999865218997,1,5,2
104,3.6999999741092324,2,4,5
105,3.5299999499693513,2,2,10
106,3.5549999065697193,2,2,10
107,1.3950000274926424,1,4,5
108,0.4599999384954572,1,3,16
109,-1.5900000296533108,0,5,5
110,3.6649998519569635,2,5,5
111,-1.9250000463798642,0,6,11
112,-1.4350000331178308,0,6,7
113,3.394999840296805,2,2,11
114,3.6399997361004353,2,2,7
115,-1.3350000167265534,0,4,8
116,-1.5150000294670463,0,5,5
117,3.8050000239163637,2,3,4
118,-1.7950000241398811,0,8,8
119,-1.6350000286474824,0,5,6
120,-1.2750000264495611,0,8,3
121,-1.9050000421702862,0,3,16
122,1.2050000755116343,1,2,6
123,-1.5500000305473804,0,6,9
124,3.404999954625964,2,3,11
125,-1.6400000341236591,0,3,11
126,-0.8100000033155084,0,5,1
127,-1.7850000467151403,0,6,10
128,-1.0550000201910734,0,4,6
129,-1.3400000259280205,0,5,4
130,-1.3000000203028321,0,4,5
131,-1.6300000380724669,0,6,9
132,1.2799999732524157,1,5,5
133,6.259999788366258,3,4,5
134,0.969999959692359,1,5,8
135,0.8199998317286372,1,5,9
136,-1.0100000211969018,0,5,4
137,3.519999853335321,2,3,7
138,-1.5750000346451998,0,6,7
139,-0.9300000108778477,0,5,1
140,3.4949999507516623,2,1,10
141,-1.6950000328943133,0,6,8
142,4.349999993108213,2,2,1
143,3.6500000171363354,2,4,7
144,-1.4850000273436308,0,5,5
145,-1.4650000343099236,0,4,8
146,-1.2600000305101275,0,4,7
147,6.019999942742288,3,2,8
148,6.25000003632158,3,3,4
149,3.4250000128522515,2,4,9
150,1.5399998677894473,1,5,3
151,0.9149999702349305,1,6,5
152,3.6100000757724047,2,5,4
153,-0.9550000140443444,0,4,3
154,3.699999861419201,2,2,8
155,-1.1850000219419599,0,3,3
156,6.464999922551215,3,3,3
157,1.909999999217689,1,2,1
158,1.689999989233911,1,2,3
159,1.0550000118091702,1,4,6
160,-1.615000031888485,0,4,8
161,-1.4000000227242708,0,4,7
162,-1.4500000244006515,0,5,5
163,1.0599998449906707,1,4,7
164,3.2050000987946987,2,2,12
165,0.905000020749867,1,4,10
166,-1.3400000231340528,0,7,4
167,0.9349998515099287,1,3,11
168,-1.5950000314041972,0,6,9
169,-1.3100000331178308,0,4,7
170,-1.12000001501292,0,5,5
171,-1.7450000392273068,0,5,12
172,-1.7950000502169132,0,3,10
173,3.5000000167638063,2,2,8
174,3.774999862536788,2,5,2
175,-1.615000044927001,0,4,11
176,3.645000008866191,2,2,9
177,3.360000160522759,2,4,11
178,1.2049998547881842,1,3,6
179,-2.0600000517442822,0,6,11
180,1.274999862536788,1,4,5
181,0.9050000123679638,1,3,10
182,-1.4900000235065818,0,5,7
183,1.0150000732392073,1,5,6
184,-1.4800000311806798,0,4,9
185,-2.130000052973628,0,4,17
186,-1.795000048354268,0,6,9
187,-2.04500004183501,0,5,14
188,-1.8450000584125519,0,5,12
189,-1.7850000374019146,0,5,10
190,-1.095000023022294,0,3,6
191,-1.2350000254809856,0,5,5
192,3.739999920129776,2,7,2
193,-1.7300000358372927,0,6,10
194,-1.6500000301748514,0,7,8
195,3.779999915510416,2,3,7
196,1.2000000281259418,1,3,8
197,-1.8250000467523932,0,6,11
198,-1.6450000507757068,0,4,11
199,-1.590000038035214,0,5,7
200,-0.970000009983778,0,7,1
201,0.6450000535696745,1,6,11
202,4.060000026598573,2,3,3
203,-1.6300000380724669,0,5,10
204,1.4299998683854938,1,3,4
205,4.129999868571758,2,2,4
206,-2.3350000428035855,0,3,20
207,-1.5600000359117985,0,3,11
208,3.8849999643862247,2,1,6
209,3.1150001073256135,2,4,13
210,-1.5150000313296914,0,3,9
211,-1.8150000367313623,0,6,11
212,1.4049999853596091,1,3,6
213,3.3150001065805554,2,4,12
214,6.05999990273267,3,1,8
215,-1.90000004414469,0,4,13
216,-1.6400000294670463,0,7,6
217,-0.9100000113248825,0,4,3
218,3.470000108703971,2,5,10
219,-1.2550000231713057,0,4,3
220,1.1199998576194048,1,4,7
221,-1.1450000191107392,0,4,4
222,1.7899999879300594,1,0,3
223,0.5499998275190592,1,4,13
224,-1.335000030696392,0,5,6
225,-1.8000000473111868,0,5,12
226,-1.795000048354268,0,6,10
227,-2.1400000555440784,0,3,18
228,-1.6900000320747495,0,6,10
229,0.51999999769032,1,5,12
230,-1.3050000322982669,0,5,5
231,3.5500000659376383,2,5,8
232,-1.790000043809414,0,5,11
233,-1.830000039190054,0,7,8
234,3.129999967291951,2,4,13
235,-1.7950000241398811,0,5,9
236,-1.3900000359863043,0,4,10
237,-1.535000023432076,0,7,6
238,-1.9800000423565507,0,5,13
239,0.5649998402222991,1,6,12
240,3.4849999556317925,2,4,9
241,-1.7850000374019146,0,8,8
242,1.4499998586252332,1,2,5
243,3.900000026449561,2,1,8
244,-2.2300000488758087,0,8,13
245,-1.335000024177134,0,3,7
246,4.000000030733645,2,2,5
247,1.5349998734891415,1,4,2
248,-1.6350000333040953,0,4,11
249,-0.8300000112503767,0,2,2
250,-0.7750000040978193,0,4,1
251,-1.8600000375881791,0,5,13
252,2.9350001020357013,2,5,13
253,2.8149998197332025,2,3,15
254,4.249999925494194,2,2,2
255,1.93000004068017,1,2,2
256,-1.5300000375136733,0,5,8
257,0.7250000471249223,1,6,10
258,5.7999999932944775,3,0,14
259,-1.8750000381842256,0,4,12
260,1.5899999905377626,1,3,3
261,-1.430000038817525,0,4,9
262,-1.6700000362470746,0,4,11
263,-1.7400000356137753,0,7,7
264,-1.5200000368058681,0,6,6
265,-1.90000004414469,0,5,11
266,0.9949999637901783,1,4,10
267,3.5599999641999602,2,2,9
268,-1.99500004760921,0,5,14
269,3.239999959245324,2,2,12
270,-1.7800000300630927,0,6,10
271,-1.7500000521540642,0,4,13
272,1.0250000189989805,1,5,7
273,-1.1700000232085586,0,5,5
274,-1.3550000227987766,0,6,3
275,-2.000000041909516,0,5,14
276,-2.040000043809414,0,5,15
277,-2.2300000600516796,0,7,15
278,-2.0850000539794564,0,4,16
279,-1.3350000279024243,0,3,9
280,-1.270000028423965,0,4,8
281,4.020000028423965,2,1,4
282,-2.0700000524520874,0,9,11
283,-1.795000053010881,0,6,10
284,-2.035000052303076,0,6,13
285,0.850000012665987,1,5,9
286,1.4049998661503196,1,3,5
287,-1.7550000455230474,0,5,9
288,-1.8750000409781933,0,6,9
289,-1.5050000343471766,0,6,8
290,0.9099998427554965,1,4,9
291,-1.775000037625432,0,5,12
292,3.4750001216307282,2,3,10
293,3.119999999180436,2,3,14
294,3.254999936558306,2,2,12
295,-1.9050000542774796,0,5,12
296,0.5599999446421862,1,4,14
297,2.9650000501424074,2,3,15
298,-1.295000028796494,0,5,7
299,13.705000151880085,6,0,8
300,8.024999992921948,4,3,14
301,-1.7900000484660268,0,4,13
302,0.8000000081956387,1,5,10
303,-1.8700000420212746,0,6,10
304,-1.2200000267475843,0,3,8
305,1.0450000129640102,1,5,6
306,-1.6800000350922346,0,6,10
307,0.3299999423325062,1,7,14
308,0.7200000006705523,1,5,12
309,3.6650000121444464,2,5,8
310,0.859999849461019,1,2,12
311,-1.1300000166520476,0,4,4
312,-2.4800000619143248,0,6,19
313,-1.7450000401586294,0,4,13
314,0.5349999442696571,1,4,14
315,-1.4550000363960862,0,4,10
316,0.9399998467415571,1,4,9
317,-1.8800000390037894,0,6,12
318,-1.8400000361725688,0,5,11
319,-1.9650000436231494,0,3,17
320,5.620000096037984,3,5,11
321,-1.9800000432878733,0,3,15
322,1.6099998718127608,1,2,6
323,-1.560000034980476,0,3,11
324,0.6999998381361365,1,6,11
325,3.619999741204083,2,3,9
326,-1.3550000321120024,0,3,10
327,1.2300000172108412,1,4,5
328,-1.5550000360235572,0,5,10
329,-1.780000040307641,0,7,9
330,6.3450001226738095,3,3,4
331,-2.040000058710575,0,6,13
332,-1.4400000302121043,0,5,8
333,-1.7950000334531069,0,6,10
334,-1.5050000231713057,0,7,6
335,-1.9950000578537583,0,3,16
336,0.7650000611320138,1,5,8
337,5.569999987259507,3,4,13
338,1.4500000784173608,1,3,4
339,-2.1700000474229455,0,8,13
340,-1.6550000393763185,0,4,11
341,-2.5750000551342964,0,5,21
342,-1.0650000190362334,0,5,4
343,-1.3050000267103314,0,4,4
344,3.5950000705197453,2,3,9
345,3.4399999622255564,2,2,12
346,-1.5900000352412462,0,4,11
347,-2.265000053681433,0,6,15
348,-2.1300000566989183,0,6,15
349,3.634999736212194,2,3,8
350,0.7149998480454087,1,4,11
351,-1.4450000375509262,0,6,8
352,-1.0900000222027302,0,5,5
353,-1.9700000584125519,0,5,13
354,-1.660000047646463,0,3,12
355,-1.2250000173225999,0,4,6
356,-1.7550000278279185,0,4,13
357,4.054999867454171,2,1,6
358,-1.9100000504404306,0,4,13
359,5.804999932646751,3,3,10
360,-1.740000038407743,0,4,10
361,-1.3800000278279185,0,5,9
362,-1.6400000303983688,0,4,12
363,-1.8300000503659248,0,7,11
364,1.4499999918043613,1,4,4
365,-1.7350000496953726,0,5,11
366,-1.785000036470592,0,5,12
367,-2.135000042617321,0,6,14
368,2.8099999437108636,2,2,17
369,1.625000081025064,1,3,4
370,-1.5100000398233533,0,4,10
371,-1.5000000298023224,0,4,10
372,-1.4200000334531069,0,4,10
373,-2.4900000542402267,0,5,19
374,-1.8300000336021185,0,5,10
375,8.330000001005828,4,4,11
376,-1.7750000320374966,0,6,11
377,-1.6950000431388617,0,4,11
378,-0.8650000207126141,0,3,5
379,-2.0400000531226397,0,4,15
380,2.699999935925007,2,1,21
381,-2.4800000470131636,0,4,19
382,-1.985000042244792,0,6,12
383,5.805000101216137,3,4,10
384,-0.6750000044703484,0,1,2
385,-1.2750000264495611,0,3,7
386,-1.2650000229477882,0,4,8
387,-1.1900000236928463,0,6,3
388,-1.225000023841858,0,3,9
389,1.5049999821931124,1,5,4
390,-1.2850000262260437,0,6,6
391,0.27500004693865776,1,5,16
392,4.199999963864684,2,2,5
393,-0.8800000110641122,0,4,3
394,-1.2000000216066837,0,3,7
395,-2.4250000612810254,0,3,20
396,-1.4750000452622771,0,3,10
397,-0.38000000175088644,0,1,1
398,-1.60500003490597,0,4,9
399,-1.0100000193342566,0,5,4
400,-1.6400000359863043,0,4,11
401,-0.7550000017508864,0,4,1
402,-1.5550000295042992,0,7,7
403,-1.645000034943223,0,4,10
404,-2.0900000408291817,0,6,14
405,-1.9100000523030758,0,4,15
406,1.0200000079348683,1,5,7
407,3.484999847598374,2,2,12
408,3.4900000020861626,2,2,11
409,1.1649998696520925,1,6,7
410,0.664999951608479,1,4,13
411,-2.0450000455603004,0,4,16
412,2.475000038743019,2,4,20
413,-2.1300000585615635,0,5,16
414,-0.9100000178441405,0,2,6
415,-0.9500000197440386,0,3,5
416,1.3999999789521098,1,1,7
417,-1.5100000323727727,0,7,7
418,-1.600000036880374,0,5,10
419,-1.605000039562583,0,4,10
420,1.3549999725073576,1,2,6
421,-1.145000017248094,0,4,6
422,1.2799999760463834,1,2,9
423,-0.7750000106170774,0,3,3
424,-1.2300000190734863,0,5,6
425,-1.0900000110268593,0,3,4
426,1.3649998595938087,1,1,7
427,-1.4750000378116965,0,7,7
428,3.4400001065805554,2,2,11
429,3.774999954737723,2,3,7
430,-1.6850000377744436,0,8,7
431,3.4899999583140016,2,2,10
432,-1.8900000378489494,0,6,12
433,-1.8850000314414501,0,6,12
434,5.994999778456986,3,0,11
435,7.9250001991167665,4,2,17
436,6.40999997779727,3,1,9
437,-2.3150000609457493,0,5,18
438,-2.300000051036477,0,5,18
439,-0.760000011883676,0,3,2
440,-1.2750000217929482,0,6,5
441,-1.1000000182539225,0,5,3
442,-0.7250000108033419,0,3,3
443,4.4449999295175076,2,1,2
444,-1.6950000366196036,0,5,11
445,-2.7250000704079866,0,5,23
446,-1.6300000371411443,0,4,10
447,-1.2600000202655792,0,5,7
448,1.040000069886446,1,3,10
449,-1.2000000206753612,0,3,8
450,-1.9100000485777855,0,6,11
451,2.6149999359622598,2,4,19
452,-1.2050000205636024,0,3,7
453,8.580000166781247,4,3,9
454,-2.440000063739717,0,4,19
455,-1.9900000551715493,0,5,14
456,0.270000041462481,1,4,18
457,-1.8600000375881791,0,4,13
458,5.3250000309199095,3,5,15
459,-2.815000057220459,0,3,25
460,-2.135000040754676,0,3,17
461,1.4999998668208718,1,2,5
462,-2.215000059455633,0,8,13
463,3.4449999686330557,2,2,11
464,-1.2800000263378024,0,4,8
465,-0.7250000089406967,0,3,3
466,-2.56500006839633,0,6,19
467,-2.240000071004033,0,3,17
468,-2.760000064969063,0,6,22
469,-1.6800000332295895,0,4,11
470,2.68999982252717,2,5,15
471,3.41999994777143,2,5,9
472,0.8699998455122113,1,2,13
473,-0.9750000210478902,0,4,4
474,5.580000001005828,3,3,13
475,0.1250000298023224,1,6,16
476,-1.935000049881637,0,4,14
477,-1.3250000337138772,0,5,6
478,0.3099999949336052,1,4,16
479,-1.030000016093254,0,3,6
480,0.3799998266622424,1,4,16
481,2.5549999428912997,2,2,22
482,-1.9650000520050526,0,4,16
483,-2.185000046156347,0,5,16
484,-1.3700000364333391,0,2,8
485,-0.590000007301569,0,2,3
486,-0.5500000063329935,0,2,2
487,1.5300000309944153,1,3,5
488,-1.4700000397861004,0,4,8
489,3.1350000128149986,2,3,14
490,-1.7200000444427133,0,5,12
491,3.1349997259676456,2,2,16
492,-2.370000071823597,0,6,15
493,-2.625000067986548,0,5,21
494,-1.440000026486814,0,2,9
495,-0.9250000128522515,0,3,4
496,8.569999949075282,4,2,9
497,-1.560000034980476,0,5,9
498,-0.6850000154227018,0,2,3
499,-1.4800000339746475,0,4,8
500,-1.2750000152736902,0,6,5
501,2.879999700933695,2,5,13
502,-1.8150000497698784,0,4,14
503,-2.0900000547990203,0,4,16
504,3.7499999506399035,2,0,10
505,-1.6450000572949648,0,2,12
506,1.3099998533725739,1,2,8
507,-0.8150000153109431,0,3,4
508,-1.7200000267475843,0,4,14
509,-2.420000057667494,0,6,19
510,7.829999957233667,4,2,18
511,3.8699998585507274,2,2,7
512,-2.0200000600889325,0,2,17
513,2.57000008225441,2,4,19
514,0.31499999295920134,1,5,16
515,-1.7400000458583236,0,4,12
516,0.10499983467161655,1,2,20
517,0.2749999491497874,1,5,16
518,-2.460000061430037,0,4,20
519,0.8700000504031777,1,4,11
520,-0.6450000116601586,0,1,3
521,-1.1200000224635005,0,3,6
522,3.614999897778034,2,3,10
523,-1.8100000452250242,0,2,14
524,-1.7600000482052565,0,4,13
525,1.0200000246986747,1,3,10
526,-1.6300000380724669,0,6,9
527,5.8299998212605715,3,0,14
528,1.025000057183206,1,2,10
529,-1.6100000450387597,0,3,12
530,-1.6200000392273068,0,4,12
531,-2.485000055283308,0,5,20
532,-2.1850000470876694,0,2,19
533,3.3499999567866325,2,2,13
534,-2.4200000651180744,0,10,15
535,-2.8650000700727105,0,4,25
536,-1.1600000159814954,0,3,7
537,2.06499988026917,1,0,2
538,-0.7250000033527613,0,3,2
539,-0.8400000147521496,0,3,4
540,3.5149998422712088,2,2,11
541,2.535000125877559,2,4,20
542,-2.2950000492855906,0,4,18
543,-1.6700000371783972,0,5,10
544,-1.1100000124424696,0,6,4
545,1.6299998732283711,1,2,3
546,5.2650000508874655,3,2,19
547,4.825000013224781,3,3,22
548,-2.3900000639259815,0,7,16
549,1.0299999583512545,1,3,9
550,-2.145000061020255,0,4,15
551,1.940000131726265,2,2,28
552,-2.3750000596046448,0,4,19
553,-2.4300000490620732,0,4,20
554,-2.7800000607967377,0,6,22
555,-2.560000069439411,0,8,17
556,-2.245000063441694,0,5,17
557,-1.730000052601099,0,4,13
558,-2.275000053457916,0,5,17
559,3.829999854788184,2,3,7
560,-0.8500000135973096,0,3,5
561,2.0649998812004924,1,1,2
562,-1.4300000229850411,0,4,10
563,-2.015000053681433,0,4,16
564,-1.5800000429153442,0,4,9
565,3.274999961256981,2,2,14
566,-2.6850000536069274,0,3,24
567,1.6399999875575304,1,3,3
568,3.2150001069530845,2,2,15
569,4.214999921619892,2,1,5
570,-0.5350000057369471,0,2,3
571,1.6700000371783972,1,2,5
572,-0.6350000062957406,0,2,2
573,-2.2250000508502126,0,5,17
574,-2.425000057555735,0,6,18
575,-2.4800000553950667,0,5,19
576,1.2099999701604247,1,3,9
577,-2.275000063702464,0,6,16
578,-1.140000025741756,0,3,6
579,-0.9150000158697367,0,2,5
580,-0.9200000176206231,0,5,4
581,-2.7650000657886267,0,5,23
582,-1.4800000423565507,0,2,11
583,0.8349999655038118,1,4,13
584,-1.7100000362843275,0,3,14
585,2.3900001272559166,2,3,22
586,2.0699999406933784,2,0,29
587,-1.610000029206276,0,4,11
588,-2.655000053346157,0,7,20
589,-2.8350000623613596,0,3,26
590,-2.625000056810677,0,4,21
591,2.2899999422952533,2,2,24
592,-2.860000055283308,0,5,24
593,-2.580000060610473,0,5,21
594,2.814999993890524,2,3,18
595,-1.6250000474974513,0,3,12
596,-1.3800000371411443,0,4,8
597,-1.870000058785081,0,4,13
598,-0.8250000160187483,0,4,3
599,-0.735000011511147,0,2,2
600,-0.4599999999627471,0,2,1
601,1.509999861009419,1,2,7
602,-1.8150000358000398,0,4,13
603,-0.6750000081956387,0,3,2
604,3.940000028349459,2,3,6
605,-2.865000051446259,0,4,25
606,0.14499998651444912,1,1,20
607,-0.4550000000745058,0,2,1
608,-1.030000016093254,0,3,7
609,-0.4800000060349703,0,3,1
610,-0.7050000103190541,0,3,3
611,2.924999926239252,2,0,20
612,1.2099999748170376,1,3,8
613,-0.28999999817460775,0,1,0
614,-0.5700000040233135,0,3,2
615,-1.8600000590085983,0,4,13
616,5.944999899715185,3,3,11
617,-1.8800000613555312,0,2,16
618,-1.9250000650063157,0,3,16
619,-1.6850000526756048,0,3,13
620,-1.7950000576674938,0,3,14
621,2.2050000028684735,1,1,0
622,-0.5400000065565109,0,3,2
623,-0.7200000090524554,0,4,3
624,-0.5050000054761767,0,2,0
625,-1.135000016540289,0,4,6
626,-0.6999999545514584,1,2,29
627,-0.3250000039115548,0,1,1
628,-0.5950000016018748,0,3,1
629,2.1100000040605664,1,2,0
630,0.4949998175725341,1,1,16
631,-0.43500000052154064,0,1,0
632,-0.7350000031292439,0,3,3
633,-1.3700000243261456,0,4,9
634,-1.585000043734908,0,3,12
635,0.8700000429525971,1,1,13
636,-1.6350000305101275,0,3,14
637,-1.6200000364333391,0,4,11
638,-1.430000027641654,0,3,10
639,-0.5900000082328916,0,2,3
640,-0.6400000127032399,0,1,2
641,-1.5950000304728746,0,2,14
642,-0.35999999567866325,0,2,0
643,-1.8800000632181764,0,3,15
644,-1.7850000550970435,0,5,13
645,-3.12500006146729,0,3,29
646,-0.495000003837049,0,2,1
647,-0.4850000021979213,0,1,1
648,-0.6650000093504786,0,3,3
649,5.669999926351011,3,0,16
650,-1.9200000632554293,0,4,14
651,-1.9700000565499067,0,5,14
652,-1.530000053346157,0,4,11
653,-2.1800000509247184,0,5,17
654,-0.4800000051036477,0,3,2
655,-0.42500000540167093,0,2,2
656,-0.9950000261887908,0,3,7
657,-3.2100000642240047,0,4,29
658,2.174999922513962,2,2,26
659,0.5699999611824751,1,2,17
660,-3.1700000651180744,0,3,29
661,-2.81500006839633,0,3,24
662,-1.6650000279769301,0,4,13
663,-1.4700000248849392,0,3,11
664,-2.4700000509619713,0,6,19
665,-0.4750000052154064,0,2,2
666,-0.6250000009313226,0,2,2
667,-0.2949999999254942,0,1,0
668,-0.6250000093132257,0,2,2
669,-0.7200000183656812,0,2,4
670,-0.7750000106170774,0,3,5
671,-0.9750000117346644,0,2,7
672,-0.4350000014528632,0,1,0
673,2.239999889396131,1,0,0
674,-0.35999999567866325,0,2,0
675,4.844999774359167,2,0,0
676,-0.3149999976158142,0,1,0
677,-1.6850000508129597,0,2,13
678,-1.8400000659748912,0,1,16
679,-1.730000059120357,0,2,13
680,-1.8750000577419996,0,3,15
681,-0.9700000220909715,0,4,5
682,4.479999884031713,2,1,1
683,-1.590000031515956,0,3,11
684,-0.920000015757978,0,2,5
685,-0.6800000034272671,0,3,1
686,-2.3300000624731183,0,4,19
687,3.1799998469650745,2,2,16
688,-3.315000057220459,0,3,31
689,0.6000000610947609,1,2,17
690,-1.4150000251829624,0,3,9
691,-0.19000000040978193,0,1,0
692,-0.5700000068172812,0,2,1
693,-0.43999999947845936,0,3,0
694,-2.1150000486522913,0,5,16
695,-1.755000039935112,0,6,12
696,-3.1200000643730164,0,5,27
697,-2.6400000657886267,0,3,22
698,-2.7550000585615635,0,4,24
699,-0.7149999663233757,1,2,30
700,-1.7400000551715493,0,3,13
701,-3.0100000547245145,0,3,28
702,-2.920000061392784,0,3,27
703,-0.6600000159814954,0,4,3
704,-2.0600000470876694,0,8,13
705,-0.5550000071525574,0,2,2
706,-1.9100000336766243,0,2,17
707,-3.1050000600516796,0,4,27
708,-0.680000014603138,0,3,3
709,-0.3399999998509884,0,1,1
710,-1.5650000292807817,0,3,11
711,-1.9300000574439764,0,3,16
712,3.389999973587692,2,1,15
713,-1.5250000357627869,0,3,10
714,-0.5100000025704503,0,2,1
715,2.309999885968864,1,0,0
716,-0.5900000110268593,0,2,4
717,4.559999763965607,2,0,2
718,-0.5400000121444464,0,2,3
719,1.1149998446926475,1,2,9
720,-0.8700000150129199,0,4,5
721,-2.420000054873526,0,3,22
722,-1.8750000474974513,0,3,16
723,-0.49000000581145287,0,1,1
724,4.729999773204327,2,0,1
725,-2.0050000557675958,0,4,15
726,-1.8700000531971455,0,3,15
727,2.6799999242648482,2,4,18
728,-1.5400000428780913,0,3,11
729,-1.2550000324845314,0,3,7
730,-0.41999999713152647,0,2,1
731,-0.4300000024959445,0,1,0
732,-0.1649999963119626,0,0,0
733,-1.4950000429525971,0,2,11
734,-0.5049999998882413,0,2,1
735,-1.6750000435858965,0,3,12
736,-1.73500004876405,0,4,13
737,-3.2700000628829002,0,2,31
738,-2.465000052936375,0,2,22
739,2.179999925196171,2,2,25
740,-1.9250000650063157,0,2,15
741,-1.5400000512599945,0,2,13
742,-0.504999996162951,0,3,0
743,-1.9050000319257379,0,2,18
744,-1.4200000269338489,0,2,11
745,-0.30999999959021807,0,0,0
746,-0.5099999997764826,0,1,1
747,-0.5000000009313226,0,1,1
748,-0.13999999780207872,0,0,0
749,0.7349999621510506,1,4,13
750,-0.4850000021979213,0,2,2
751,2.169999996200204,1,2,1
752,-0.3399999998509884,0,2,0
753,-1.3900000238791108,0,3,10
754,-0.4200000027194619,0,2,1
755,-0.480000008828938,0,1,2
756,-0.3899999996647239,0,2,0
757,-0.30999999586492777,0,1,0
758,-1.985000072978437,0,2,16
759,-1.560000049881637,0,2,12
760,-1.4300000248476863,0,4,10
761,1.2199998497962952,1,2,9
762,-1.9300000686198473,0,3,15
763,-0.37499997578561306,1,3,25
764,-1.6450000507757068,0,2,14
765,4.394999761134386,2,0,4
766,-0.23000000044703484,0,0,0
767,-0.34000000450760126,0,2,1
768,-1.3450000416487455,0,3,10
769,-1.8850000612437725,0,2,14
770,-3.075000062584877,0,3,28
771,-1.6400000490248203,0,2,12
772,2.1350000351667404,2,1,27
773,-2.080000073648989,0,2,18
774,-1.970000060275197,0,3,16
775,-1.430000034160912,0,5,9
776,0.5199999585747719,1,1,17
777,-0.5700000021606684,0,2,2
778,-1.5600000265985727,0,2,14
779,-1.7250000452622771,0,2,14
780,-1.7700000423938036,0,2,15
781,-1.9100000374019146,0,3,16
782,-1.6300000315532088,0,3,12
783,-0.4750000014901161,0,2,1
784,-0.46000000182539225,0,2,1
785,-0.5650000041350722,0,2,2
786,-0.4199999962002039,0,2,0
787,-0.06000000052154064,0,0,0
788,1.0249999733641744,1,1,13
789,-3.055000063031912,0,3,28
790,-0.2550000036135316,0,1,1
791,-1.9100000420585275,0,1,17
792,-1.9300000593066216,0,3,15
793,3.634999959729612,2,1,11
794,2.2900000512599945,1,0,0
795,-0.40499999932944775,0,2,0
796,-1.8250000532716513,0,4,14
797,-1.51500004529953,0,2,12
798,-2.020000067539513,0,4,14
799,-1.6950000552460551,0,2,14
800,-1.8000000594183803,0,3,15
801,-0.09499999787658453,0,0,0
802,-2.0200000489130616,0,2,18
