episode,score,hits,false_positives,repeats
214,-1.81,0,4,6
215,-2.38,0,3,10
216,2.1599999999999997,1,4,11
217,-1.5400000000000003,0,4,5
218,1.5099999999999996,1,2,16
219,-2.72,0,2,12
220,-1.75,0,3,6
221,-1.7900000000000003,0,3,7
222,-1.0,0,3,3
223,-2.6800000000000006,0,4,11
224,-2.21,0,4,8
225,4.240000000000002,1,2,2
226,-1.9,0,2,8
227,2.3400000000000003,1,3,11
228,8.900000000000002,2,5,2
229,-1.46,0,3,5
230,3.7000000000000015,1,4,4
231,-1.9300000000000002,0,4,7
232,-2.4200000000000004,0,3,10
233,2.3800000000000012,1,1,12
234,2.5500000000000016,1,1,11
235,-2.96,0,3,13
236,2.7900000000000014,1,4,8
237,-1.6400000000000001,0,3,6
238,4.150000000000002,1,3,2
239,-2.2399999999999993,0,2,10
240,2.580000000000001,1,1,11
241,3.14,1,3,7
242,7.349999999999999,2,1,12
243,3.07,1,4,7
244,2.52,1,2,11
245,-3.48,0,2,16
246,-2.8900000000000006,0,2,13
247,3.3800000000000017,1,1,7
248,7.67,2,2,10
249,2.4399999999999986,1,1,12
250,-2.2500000000000004,0,3,9
251,-1.6,0,2,6
252,-2.4399999999999995,0,3,10
253,3.85,1,2,4
254,-2.4000000000000004,0,3,10
255,7.49,2,2,11
256,-2.21,0,3,9
257,3.27,1,4,6
258,-2.02,0,3,8
259,3.79,1,2,4
260,2.89,1,4,8
261,3.250000000000002,1,2,7
262,-1.86,0,5,6
263,8.850000000000001,2,2,4
264,-1.78,0,2,7
265,-1.45,0,3,5
266,-1.31,0,2,5
267,7.98,2,1,9
268,-2.23,0,3,9
269,-2.6,0,3,11
270,2.870000000000001,1,2,9
271,-2.1799999999999997,0,3,9
272,-1.8599999999999999,0,2,8
273,3.55,1,3,5
274,-2.17,0,3,9
275,7.980000000000001,2,1,9
276,-2.66,0,2,12
277,-1.3500000000000003,0,5,3
278,8.370000000000003,2,1,7
279,-3.2400000000000007,0,2,15
280,-2.21,0,3,9
281,2.4400000000000004,1,2,11
282,3.5999999999999996,1,5,4
283,-0.6900000000000001,0,3,1
284,-2.66,0,2,12
285,-1.6700000000000002,0,5,5
286,-2.27,0,2,10
287,7.989999999999999,2,3,8
288,-2.85,0,2,13
289,3.5600000000000023,1,4,4
290,-2.57,0,3,11
291,-2.31,0,2,10
292,2.4700000000000006,1,2,11
293,7.830000000000001,2,2,9
294,-1.67,0,2,7
295,2.8400000000000003,1,1,10
296,-2.02,0,4,7
297,-1.89,0,2,8
298,-2.4099999999999997,0,3,10
299,4.5600000000000005,1,3,0
300,-2.5100000000000002,0,4,10
301,2.690000000000001,1,2,10
302,2.3000000000000003,1,2,12
303,8.02,2,1,9
304,-2.43,0,3,10
305,3.0600000000000005,1,2,8
306,-2.3600000000000003,0,3,10
307,-1.88,0,2,8
308,7.280000000000001,2,2,12
309,7.820000000000003,2,1,10
310,1.810000000000001,1,2,14
311,-3.04,0,4,12
312,2.319999999999999,2,2,11
313,-1.8399999999999999,0,3,7
314,-2.09,0,2,9
315,3.300000000000001,1,2,7
316,2.3200000000000007,1,2,12
317,-1.8,0,3,7
318,-1.57,0,3,6
319,7.979999999999999,2,0,10
320,-1.44,0,3,5
321,-1.7400000000000002,0,6,5
322,3.4700000000000015,1,2,6
323,2.3800000000000017,1,3,11
324,-1.93,0,3,7
325,-2.17,0,4,8
326,-3.13,0,1,15
327,-2.29,0,4,9
328,-2.42,0,5,9
329,3.3400000000000003,1,2,7
330,-1.6500000000000004,0,4,5
331,-1.26,0,4,4
332,8.080000000000002,2,0,9
333,-3.2,0,3,14
334,2.9499999999999997,1,1,9
335,-1.89,0,2,8
336,2.8499999999999996,1,2,9
337,-2.21,0,3,9
338,8.660000000000004,2,2,5
339,-1.8,0,3,7
340,2.1100000000000008,1,2,13
341,2.7200000000000006,1,2,10
342,-2.04,0,2,9
343,-2.0300000000000002,0,3,8
344,2.6900000000000004,1,2,10
345,12.700000000000001,3,0,11
346,-1.51,0,2,6
347,-1.74,0,4,6
348,-1.71,0,4,6
349,-1.84,0,3,7
350,2.8600000000000008,1,2,9
351,-3.15,0,4,13
352,-1.44,0,3,5
353,2.9100000000000006,1,2,9
354,-1.4700000000000004,0,5,4
355,-2.5,0,2,11
356,-1.71,0,2,7
357,2.7399999999999984,1,0,11
358,-2.4699999999999993,0,2,11
359,-2.86,0,2,13
360,2.8200000000000003,1,1,10
361,8.109999999999998,2,2,8
362,-1.8199999999999998,0,3,7
363,2.3000000000000003,1,2,12
364,-2.74,0,4,11
365,2.4199999999999995,1,1,12
366,2.34,1,2,12
367,-1.7,0,2,7
368,-2.0700000000000003,0,2,9
369,-2.84,0,3,12
370,1.2499999999999993,1,2,17
371,3.36,1,1,7
372,-2.6599999999999997,0,2,12
373,-2.2399999999999998,0,3,9
374,-1.8800000000000001,0,4,7
375,-1.33,0,4,4
376,-2.6,0,3,11
377,3.02,1,1,9
378,-3.36,0,3,15
379,-2.9899999999999998,0,3,13
380,-1.54,0,5,4
381,-2.71,0,2,12
382,-3.4,0,3,15
383,-2.9500000000000006,0,3,13
384,-1.29,0,2,5
385,-2.7600000000000007,0,1,13
386,-1.9499999999999997,0,1,9
387,-1.68,0,2,7
388,1.7899999999999998,1,3,14
389,2.98,1,3,8
390,-2.37,0,3,10
391,3.480000000000001,1,2,6
392,3.810000000000002,1,3,3
393,2.12,1,2,13
394,-2.0599999999999996,0,4,8
395,3.1999999999999993,1,3,7
396,-1.69,0,2,7
397,-2.92,0,2,13
398,2.8,1,1,10
399,-1.3,0,3,4
400,3.5200000000000005,1,1,6
401,-2.6399999999999997,0,3,11
402,-2.77,0,1,13
403,2.61,1,1,11
404,-2.77,0,3,12
405,3.2800000000000007,1,4,6
406,3.17,1,5,6
407,-1.14,0,2,4
408,-2.2600000000000002,0,2,10
409,2.8600000000000003,1,1,10
410,-2.6399999999999992,0,3,11
411,-1.54,0,4,5
412,-2.5800000000000005,0,3,11
413,-2.52,0,2,11
414,-1.6400000000000001,0,3,6
415,3.4000000000000004,1,3,6
416,2.8400000000000007,1,3,9
417,-3.460000000000001,0,2,16
418,-1.4000000000000001,0,3,5
419,2.7800000000000002,1,2,9
420,3.01,1,3,8
421,-1.67,0,2,7
422,2.700000000000001,1,2,10
423,-3.21,0,3,14
424,-2.36,0,3,10
425,3.09,1,2,8
426,-2.38,0,3,10
427,8.600000000000005,2,1,6
428,-2.6699999999999995,0,2,12
429,8.249999999999998,2,2,7
430,2.0600000000000005,1,2,13
431,-3.45,0,4,15
432,-3.5600000000000005,0,3,16
433,-1.8,0,3,7
434,3.78,1,3,4
435,1.5999999999999996,1,3,15
436,-1.49,0,2,6
437,2.81,1,1,10
438,8.580000000000002,2,1,6
439,3.790000000000002,1,3,4
440,-2.149999999999999,0,5,7
441,-1.53,0,4,5
442,-1.8000000000000003,0,3,7
443,8.810000000000002,2,1,5
444,-2.65,0,2,12
445,1.94,1,2,14
446,7.819999999999999,3,1,9
447,2.0299999999999994,2,1,13
448,-2.43,0,3,10
449,-1.9200000000000002,0,4,7
450,3.0600000000000014,1,4,7
451,-3.1400000000000006,0,2,14
452,3.1899999999999995,1,3,7
453,-1.6300000000000001,0,3,6
454,-3.500000000000001,0,1,17
455,-2.45,0,2,11
456,-2.69,0,2,12
457,-2.89,0,2,13
458,7.8,2,1,10
459,-2.2800000000000002,0,2,10
460,2.919999999999999,2,0,9
461,-2.27,0,2,10
462,-2.59,0,5,10
463,-3.650000000000001,0,2,17
464,-2.1100000000000003,0,4,8
465,-2.18,0,3,9
466,-3.28,0,2,15
467,1.8599999999999994,1,1,15
468,-2.06,0,2,9
469,2.23,1,3,12
470,2.31,1,2,12
471,8.09,2,2,8
472,-3.23,0,2,15
473,-2.7800000000000002,0,3,12
474,-2.7199999999999993,0,2,12
475,3.5200000000000005,1,2,6
476,-2.11,0,2,9
477,2.4499999999999993,1,2,11
478,2.54,1,2,11
479,-1.93,0,4,7
480,-2.4600000000000004,0,2,11
481,-1.83,0,3,7
482,1.8299999999999996,1,3,14
483,3.85,1,2,4
484,3.209999999999999,1,1,8
485,-1.53,0,2,6
486,-1.76,0,3,7
487,2.5100000000000007,1,2,11
488,2.9799999999999986,1,0,10
489,-3.8600000000000003,0,2,18
490,-3.74,0,2,17
491,-2.51,0,5,9
492,-2.16,0,3,9
493,2.2899999999999996,1,2,12
494,2.8199999999999994,1,3,9
495,3.9800000000000013,1,3,3
496,-2.5,0,2,11
497,-3.5700000000000003,0,3,16
498,-2.16,0,3,9
499,-2.1699999999999995,0,1,10
500,2.33,1,2,12
501,-2.04,0,2,9
502,2.269999999999999,1,1,13
503,-2.71,0,2,12
504,2.74,1,2,10
505,-2.45,0,2,11
506,-2.66,0,2,12
507,-2.98,0,1,14
508,-2.8199999999999994,0,2,13
509,-2.2800000000000002,0,4,9
510,7.81,2,1,10
511,-2.6399999999999997,0,3,11
512,9.14,2,2,3
513,-2.87,0,2,13
514,3.2200000000000006,1,1,8
515,-2.77,0,3,12
516,7.6499999999999995,2,1,11
517,3.0500000000000016,1,4,7
518,1.31,1,2,17
519,-3.2600000000000007,0,5,13
520,-2.3799999999999994,0,3,10
521,-3.17,0,3,14
522,-2.32,0,1,11
523,-2.4400000000000004,0,4,10
524,-2.38,0,5,9
525,1.9599999999999993,1,0,15
526,-2.4699999999999998,0,2,11
527,-2.4699999999999998,0,2,11
528,1.68,1,2,15
529,-2.34,0,1,11
530,3.080000000000001,1,2,8
531,-2.46,0,4,10
532,-4.120000000000001,0,1,20
533,-2.3000000000000003,0,4,9
534,2.4099999999999993,1,3,11
535,-1.8199999999999998,0,2,8
536,3.36,1,2,7
537,-1.6400000000000001,0,3,6
538,3.3200000000000003,1,2,7
539,-2.7599999999999993,0,1,13
540,-2.1,0,2,9
541,-3.0300000000000002,0,2,14
542,-2.37,0,1,11
543,-3.06,0,2,14
544,-2.62,0,2,12
545,-1.6700000000000002,0,2,7
546,-2.1799999999999997,0,3,9
547,-1.8399999999999999,0,2,8
548,3.1899999999999995,1,3,7
549,-2.3400000000000003,0,3,10
550,-1.88,0,2,8
551,-1.6500000000000001,0,4,6
552,2.52,1,2,11
553,-2.2499999999999996,0,2,10
554,3.29,1,2,7
555,-2.27,0,2,10
556,-1.51,0,4,5
557,-2.47,0,3,10
558,-2.25,0,2,10
559,-2.05,0,2,9
560,2.0400000000000005,1,1,14
561,-1.48,0,2,6
562,-1.6199999999999999,0,2,7
563,-1.6700000000000002,0,2,7
564,7.059999999999999,2,2,13
565,-2.79,0,3,12
566,1.7500000000000004,1,2,15
567,1.4899999999999993,1,1,17
568,3.94,1,2,4
569,-2.63,0,2,12
570,-1.89,0,2,8
571,2.6999999999999997,1,2,10
572,-1.75,0,3,7
573,-2.3800000000000003,0,3,10
574,-2.94,0,3,13
575,-3.08,0,2,14
576,2.6199999999999997,1,1,11
577,-2.6500000000000004,0,2,12
578,-3.0600000000000005,0,2,14
579,-2.8700000000000006,0,2,13
580,-2.369999999999999,0,1,11
581,-3.420000000000001,0,2,16
582,3.0200000000000005,1,2,8
583,-2.26,0,2,10
584,3.1399999999999997,1,2,8
585,2.359999999999999,1,2,12
586,-2.369999999999999,0,3,10
587,-2.34,0,1,11
588,-2.65,0,2,12
589,3.6500000000000004,1,1,6
590,-2.8800000000000003,0,2,13
591,-1.3800000000000001,0,3,5
592,2.880000000000001,1,2,9
593,2.2299999999999995,1,1,13
594,7.039999999999999,2,1,14
595,-2.5700000000000003,0,3,11
596,-2.2600000000000002,0,2,10
597,2.7399999999999993,2,2,9
598,-2.62,0,2,12
599,-2.23,0,2,10
600,-2.01,0,3,8
601,-2.95,0,3,13
602,-1.65,0,2,7
603,-1.71,0,4,6
604,-2.75,0,3,12
605,-3.0300000000000007,0,2,14
606,2.5200000000000005,1,3,10
607,-2.4899999999999998,0,4,10
608,-1.8699999999999999,0,2,8
609,2.7600000000000002,1,2,10
610,2.6100000000000003,1,5,9
611,2.62,1,3,10
612,12.41,3,1,12
613,-2.58,0,3,11
614,1.7699999999999978,1,2,15
615,-1.25,0,2,5
616,-2.86,0,2,13
617,-2.5,0,1,12
618,2.8599999999999985,1,1,10
619,-1.29,0,2,5
620,2.729999999999999,1,2,10
621,-1.49,0,4,5
622,-3.2700000000000005,0,2,15
623,3.009999999999999,1,3,8
624,-3.660000000000001,0,3,16
625,1.8800000000000001,1,1,15
626,1.2699999999999994,1,1,18
627,-1.8300000000000003,0,5,6
628,3.01,1,1,9
629,-2.5900000000000003,0,3,11
630,-1.5899999999999999,0,1,7
631,1.6399999999999992,1,1,16
632,-2.06,0,2,9
633,-3.2400000000000007,0,2,15
634,-1.5,0,2,6
635,-2.23,0,2,10
636,-2.6599999999999993,0,2,12
637,-2.22,0,3,9
638,2.9399999999999995,1,2,9
639,3.4299999999999997,1,3,6
640,-3.06,0,2,14
641,2.7000000000000006,1,2,10
642,-2.3299999999999996,0,1,11
643,-2.72,0,4,11
644,-3.2500000000000004,0,2,15
645,-2.7399999999999998,0,3,12
646,1.4599999999999989,1,1,17
647,2.5099999999999993,1,2,11
648,2.0799999999999987,1,2,13
649,-1.4500000000000002,0,3,5
650,-1.81,0,3,7
651,-3.0500000000000003,0,2,14
652,6.769999999999998,2,0,16
653,2.3600000000000003,1,2,12
654,3.3599999999999994,1,2,7
655,-2.4200000000000004,0,2,11
656,-1.97,0,3,8
657,-3.2300000000000004,0,2,15
658,-2.74,0,3,12
659,2.0599999999999987,1,1,14
660,-3.56,0,3,16
661,-2.2199999999999998,0,2,10
662,-2.960000000000001,0,3,13
663,-2.63,0,2,12
664,3.100000000000001,1,2,8
665,2.73,1,2,10
666,-2.6799999999999997,0,4,11
667,-2.09,0,4,8
668,2.469999999999999,1,1,12
669,-2.02,0,2,9
670,2.3699999999999983,1,0,13
671,1.0699999999999998,1,1,19
672,2.97,1,2,9
673,-1.66,0,2,7
674,-2.37,0,3,10
675,1.8799999999999988,1,1,15
676,-2.7400000000000007,0,3,12
677,-2.3299999999999996,0,1,11
678,7.030000000000002,2,1,14
679,2.1399999999999997,1,2,13
680,1.3999999999999981,1,0,18
681,-2.74,0,1,13
682,-2.99,0,3,13
683,2.7799999999999985,1,2,10
684,-2.31,0,1,11
685,-2.6500000000000004,0,2,12
686,1.239999999999999,1,1,18
687,-2.25,0,2,10
688,-1.82,0,3,7
689,-2.75,0,3,12
690,1.5499999999999992,1,0,17
691,7.159999999999999,2,0,14
692,-1.7899999999999998,0,3,7
693,3.05,1,1,9
694,-2.3,0,1,11
695,-2.31,0,4,9
696,8.43,2,1,7
697,3.570000000000002,1,3,5
698,-1.77,0,3,7
699,-2.02,0,2,9
700,-2.23,0,2,10
701,-1.94,0,2,8
702,-2.65,0,2,12
703,3.0700000000000003,1,1,9
704,-2.2500000000000004,0,4,9
705,3.039999999999999,1,1,9
706,3.54,1,2,6
707,-2.57,0,1,12
708,-2.5700000000000003,0,1,12
709,2.199999999999998,1,0,14
710,2.6499999999999995,1,1,11
711,-3.3600000000000008,0,3,15
712,2.7899999999999983,1,0,11
713,-2.0999999999999996,0,1,10
714,-3.0100000000000007,0,3,13
715,-2.4499999999999997,0,4,10
716,-2.14,0,3,9
717,2.349999999999999,1,0,13
718,2.6699999999999986,1,1,11
719,2.049999999999999,1,2,13
720,1.7199999999999989,1,2,15
721,7.33,2,2,12
722,2.8599999999999994,1,1,10
723,-1.92,0,3,8
724,-2.28,0,2,10
725,-3.7000000000000015,0,1,18
726,-3.3200000000000007,0,1,16
727,-2.56,0,1,12
728,-2.3400000000000003,0,3,10
729,-2.01,0,2,9
730,-2.9100000000000006,0,1,14
731,-2.9400000000000004,0,3,13
732,-3.4499999999999997,0,2,16
733,-3.8500000000000005,0,2,18
734,2.46,1,1,12
735,-1.8399999999999999,0,2,8
736,-2.85,0,2,13
737,2.64,1,1,11
738,-2.25,0,2,10
739,-2.03,0,2,9
740,-3.2200000000000006,0,2,15
741,-1.9399999999999997,0,1,9
742,-4.2200000000000015,0,2,20
743,-3.5200000000000005,0,1,17
744,-2.8500000000000005,0,2,13
745,-1.6600000000000001,0,4,6
746,-3.72,0,1,18
747,-2.45,0,2,11
748,2.5699999999999985,1,0,12
749,-1.66,0,2,7
750,-2.72,0,1,13
751,-2.35,0,3,10
752,-2.67,0,3,11
753,2.3599999999999985,1,0,13
754,-2.19,0,1,10
755,-2.6200000000000006,0,2,12
756,-1.9199999999999997,0,1,9
757,-2.42,0,2,11
758,-1.6999999999999997,0,1,8
759,1.4299999999999995,1,1,17
760,-2.22,0,2,10
761,-2.41,0,2,11
762,-2.3,0,1,11
763,-1.88,0,2,8
764,2.63,1,1,11
765,-1.83,0,3,7
766,-2.33,0,1,11
767,-2.23,0,2,10
768,-2.9600000000000004,0,4,12
769,-3.2600000000000002,0,2,15
770,-2.4600000000000004,0,2,11
771,2.2499999999999996,2,1,12
772,1.1999999999999975,1,0,19
773,-3.0100000000000002,0,2,14
774,2.0499999999999985,1,1,14
775,-2.5,0,2,11
776,2.869999999999999,1,1,10
777,-3.3000000000000007,0,1,16
778,-2.1,0,2,9
779,-2.5100000000000002,0,1,12
780,-2.8300000000000005,0,2,13
781,-1.9999999999999998,0,3,8
782,-2.7199999999999998,0,1,13
783,-2.8200000000000007,0,2,13
784,3.36,1,4,6
785,-2.0100000000000002,0,2,9
786,-3.5300000000000007,0,1,17
787,-2.1099999999999994,0,1,10
788,-2.76,0,3,12
789,-2.27,0,2,10
790,-2.8300000000000005,0,2,13
791,-2.22,0,2,10
792,-3.3400000000000003,0,3,15
793,-1.96,0,3,8
794,-2.3000000000000003,0,1,11
795,-3.0100000000000002,0,2,14
796,-2.03,0,2,9
797,2.89,1,1,10
798,7.319999999999999,2,2,12
799,-3.120000000000001,0,3,14
800,-2.2099999999999995,0,2,10
801,3.29,1,1,8
802,-2.8200000000000007,0,2,13
803,-1.73,0,3,7
804,-1.9099999999999997,0,1,9
805,-2.7100000000000004,0,1,13
806,-2.5,0,1,12
807,-2.13,0,1,10
808,-3.3000000000000003,0,1,16
809,-2.23,0,2,10
810,-2.31,0,1,11
811,-2.46,0,2,11
812,2.249999999999999,1,1,13
813,-2.44,0,2,11
814,-2.0999999999999996,0,1,10
815,-3.220000000000001,0,2,15
816,-2.62,0,3,11
817,3.079999999999999,1,1,9
818,-3.5000000000000004,0,1,17
819,-3.6400000000000006,0,2,17
820,-2.0599999999999996,0,3,8
821,-2.22,0,2,10
822,-2.25,0,2,10
823,-4.110000000000001,0,1,20
824,2.3499999999999988,1,2,12
825,1.9999999999999976,1,0,15
826,-2.42,0,2,11
827,2.059999999999998,1,1,14
828,2.1899999999999977,1,0,14
829,-2.5300000000000002,0,1,12
830,-2.51,0,1,12
831,2.5799999999999983,1,0,12
832,-2.41,0,2,11
833,2.1999999999999975,1,0,14
834,1.8699999999999977,1,1,15
835,-3.41,0,2,16
836,-3.0100000000000007,0,2,14
837,-2.9200000000000004,0,1,14
838,3.76,1,2,5
839,-2.21,0,2,10
840,-2.11,0,1,10
841,-3.5100000000000007,0,1,17
842,-2.6300000000000003,0,2,12
843,-4.500000000000002,0,1,22
844,-3.6400000000000006,0,2,17
845,-2.41,0,2,11
846,-2.5,0,1,12
847,-3.1300000000000003,0,1,15
848,-2.33,0,1,11
849,2.869999999999999,1,1,10
850,3.2699999999999996,1,1,8
851,-3.620000000000001,0,2,17
852,-2.41,0,2,11
853,2.2799999999999985,1,1,13
854,-2.22,0,2,10
855,-2.5100000000000002,0,1,12
856,-2.7200000000000006,0,3,12
857,-3.1200000000000006,0,1,15
858,-2.12,0,3,9
859,2.2799999999999985,1,1,13
860,2.0899999999999976,1,1,14
861,2.089999999999999,1,1,14
862,-2.2499999999999996,0,2,10
863,-2.5,0,1,12
864,-2.1199999999999997,0,1,10
865,-3.5000000000000013,0,1,17
866,-2.6200000000000006,0,2,12
867,-2.6300000000000003,0,2,12
868,-2.5,0,1,12
869,-2.7,0,1,13
870,-1.94,0,3,8
871,-3.520000000000001,0,1,17
872,-2.920000000000001,0,3,13
873,7.880000000000005,2,1,10
874,-3.7,0,1,18
875,-3.430000000000001,0,2,16
876,-3.1000000000000005,0,1,15
877,-2.3,0,1,11
878,-2.9000000000000004,0,1,14
879,-2.6100000000000003,0,2,12
880,-2.52,0,1,12
881,-2.6999999999999997,0,1,13
882,-2.22,0,2,10
883,-1.94,0,3,8
884,-2.21,0,2,10
885,-2.9200000000000004,0,3,13
886,-2.3200000000000003,0,3,10
887,-3.1100000000000008,0,1,15
888,-2.6200000000000006,0,2,12
889,-2.21,0,2,10
890,-2.5300000000000002,0,1,12
891,-3.700000000000001,0,1,18
892,1.9899999999999978,1,0,15
893,-2.32,0,1,11
894,-2.6200000000000006,0,2,12
895,-3.440000000000001,0,2,16
896,-2.5100000000000002,0,1,12
897,-2.4099999999999997,0,2,11
898,-2.5,0,1,12
899,-3.3000000000000007,0,1,16
900,-2.3,0,1,11
901,-2.33,0,1,11
902,-2.3099999999999996,0,1,11
903,-2.5,0,1,12
904,-2.7,0,1,13
905,-2.31,0,1,11
906,2.3799999999999986,1,2,12
907,-2.03,0,2,9
908,1.9999999999999976,1,0,15
