episode,total_reward
1,87.07953152060509
2,93.62710851430893
3,66.13927622139454
4,106.74038633704185
5,74.8640848994255
6,80.62383285164833
7,88.38411596417427
8,119.83402609825134
9,100.76403146982193
10,78.11101949214935
11,100.8236149251461
12,92.3709531724453
13,116.0393163561821
14,93.13603514432907
15,111.12006711959839
16,115.81585985422134
17,120.47156038880348
18,129.43728625774384
19,129.8764836192131
20,164.09479784965515
21,133.63920092582703
22,96.38638791441917
23,111.93790271878242
24,103.04301917552948
25,137.04167544841766
26,97.844677567482
27,148.0588425397873
28,142.2418520450592
29,133.01913014054298
30,116.6507439315319
31,120.42039257287979
32,146.53408694267273
33,149.70331341028214
34,128.00225833058357
35,117.15162688493729
36,136.6306962966919
37,93.31531009078026
38,80.6554183959961
39,126.08933624625206
40,164.4836921095848
41,97.01137420535088
42,140.00531435012817
43,145.76063829660416
44,135.10394805669785
45,100.62734398245811
46,133.5285022854805
47,117.30074137449265
48,141.8389464020729
49,127.6288560628891
50,119.99091476202011
51,140.97318118810654
52,117.64707833528519
53,128.4627986550331
54,135.8686807155609
55,129.36627712845802
56,119.23735970258713
57,139.1040319800377
58,121.47146806120872
59,142.66353052854538
60,131.40917479991913
61,124.47297644615173
62,124.31177091598511
63,125.24808943271637
64,132.8406793475151
65,139.24502885341644
66,117.77886572480202
67,152.30576717853546
68,102.47236493229866
69,103.33362007141113
70,107.71164759993553
71,122.00005459785461
72,126.77100238204002
73,143.38509845733643
74,98.42096063494682
75,154.13881075382233
76,148.71201920509338
77,111.24112257361412
78,86.98616433143616
79,141.66147032380104
80,120.41236144304276
81,131.50581926107407
82,114.11684775352478
83,120.5154846906662
84,127.84404757618904
85,112.89198288321495
86,125.87734067440033
87,148.4523839354515
88,90.52381983399391
89,154.5025624036789
90,165.50507628917694
91,113.40624910593033
92,126.35903897881508
93,164.58302026987076
94,61.9868882894516
95,110.3727785050869
96,142.41463845968246
97,125.80725759267807
98,174.06574481725693
99,122.84674832224846
100,140.0380535721779
101,85.46318793296814
102,158.0199158191681
103,134.80708664655685
104,117.50564712285995
105,97.74791324138641
106,127.30016478896141
107,129.49069595336914
108,101.90699443221092
109,122.22551721334457
110,115.50205591320992
111,123.13364452123642
112,148.1892345547676
113,121.79964724183083
114,136.03225955367088
115,135.83563405275345
116,125.6706166267395
117,154.27436059713364
118,121.19075357913971
119,137.32597291469574
120,143.27831465005875
121,112.63184860348701
122,125.46030241250992
123,129.49152833223343
124,157.8625493645668
125,126.26427590847015
126,143.04978108406067
127,129.3925577700138
128,141.62880390882492
129,98.2143175303936
130,110.11170727014542
131,156.88337570428848
132,113.5439777970314
133,130.3389950990677
134,127.9086212515831
135,135.60877108573914
136,130.65488636493683
137,140.18416011333466
138,135.2786670923233
139,121.26179590821266
140,130.59418800473213
141,144.73209899663925
142,122.26016250252724
143,124.97478634119034
144,134.46139079332352
145,139.87790340185165
146,85.42761352658272
147,124.21062797307968
148,167.57297521829605
149,114.86348736286163
150,125.44757378101349
151,151.15927970409393
152,134.89758360385895
153,129.72837048768997
154,117.12915825843811
155,153.4127402305603
156,144.1779592037201
157,138.76376736164093
158,147.71461927890778
159,149.686865568161
160,103.94815635681152
161,103.12369920313358
162,108.72022786736488
163,132.10453808307648
164,105.42936849594116
165,127.47845301032066
166,161.96428000926971
167,133.3952991962433
168,151.70301508903503
169,141.99390238523483
170,138.81783437728882
171,143.89438021183014
172,154.7785422205925
173,141.79467657208443
174,80.31333521008492
175,127.48651081323624
176,136.2001616358757
177,128.6891448199749
178,100.36314064264297
179,94.4353212416172
180,139.45071232318878
181,124.72815251350403
182,131.2479985356331
183,145.37022745609283
184,138.6018863618374
185,143.84127867221832
186,158.16744136810303
187,82.2361406981945
188,100.06920030713081
189,141.37129735946655
190,137.0184322297573
191,116.15082842111588
192,136.90479058027267
193,152.00654476881027
194,116.91186264157295
195,138.60188388824463
196,111.87766271829605
197,164.00745368003845
198,121.5214151442051
199,130.93405371904373
200,123.25095224380493
201,163.22713643312454
202,146.7740294933319
203,106.31435158848763
204,162.03268945217133
205,130.81727802753448
206,108.23542404174805
207,117.90353173017502
208,123.3395961523056
209,92.22522181272507
210,138.22887951135635
211,77.32987907528877
212,117.4152303636074
213,107.8938600718975
214,136.90585005283356
215,150.4697442650795
216,121.61691066622734
217,114.68567258119583
218,118.64285272359848
219,127.64892214536667
220,109.8812293112278
221,137.28217387199402
222,123.04204508662224
223,153.34729117155075
224,130.86881297826767
225,118.53367030620575
226,154.698355615139
227,108.74939125776291
228,152.91761833429337
229,111.6534096300602
230,121.35261195898056
231,136.1978753209114
232,147.79423007369041
233,137.17726078629494
234,132.0081744492054
235,136.8506835103035
236,118.73073849081993
237,139.6408070921898
238,62.72907565534115
239,113.50586006045341
240,150.6781523823738
241,134.13392806053162
242,120.03013110160828
243,110.4890749156475
244,104.41653886437416
245,139.83112162351608
246,125.84642657637596
247,140.39567732810974
248,106.03095656633377
249,119.2096075117588
250,106.55681756138802
251,137.45880430936813
252,95.80455911159515
253,104.74410942196846
254,95.96608567237854
255,121.70995536446571
256,115.50177711248398
257,124.98439490795135
258,129.20003765821457
259,114.36206614971161
260,100.0061528980732
261,128.96346753835678
262,124.6484754383564
263,116.96865302324295
264,105.87866458296776
265,100.4944997727871
266,72.45105773210526
267,131.28333812952042
268,131.13055700063705
269,152.6072782278061
270,106.53822368383408
271,145.79732686281204
272,122.86042788624763
273,140.76717245578766
274,120.63557761907578
275,119.30691426992416
276,96.55052039027214
277,126.99699440598488
278,146.7662916779518
279,126.10104903578758
280,102.25390359759331
281,121.32036006450653
282,135.29298388957977
283,145.37133622169495
284,141.74636214971542
285,100.97936925292015
286,88.67805513739586
287,155.6763283610344
288,115.44784715771675
289,102.72828245162964
290,131.86473879218102
291,116.8237544298172
292,151.21505016088486
293,102.76213258504868
294,121.74524781107903
295,135.49619394540787
296,111.21757557988167
297,147.30290454626083
298,122.94127917289734
299,114.05212417244911
300,131.3238888978958
301,105.70747834444046
302,119.30387496948242
303,117.04767206311226
304,104.74011328816414
305,112.15082105994225
306,138.8065083026886
307,126.763423204422
308,115.55120646953583
309,149.84376215934753
310,144.62484675645828
311,107.06969556212425
312,116.3884628713131
313,148.64855861663818
314,166.09476846456528
315,124.36962777376175
316,138.5429482460022
317,83.3011334836483
318,115.65972071886063
319,114.4923645555973
320,150.94174629449844
321,141.7189234495163
322,137.9116811156273
323,103.78545144200325
324,152.65837001800537
325,145.504821062088
326,144.60514777898788
327,119.36511984467506
328,125.57297804951668
329,130.55070507526398
330,119.27410006523132
331,153.97733938694
332,138.73057109117508
333,140.35126948356628
334,111.02926942706108
335,147.23942464590073
336,127.30348110198975
337,108.2268976867199
338,124.2996734380722
339,128.5817857682705
340,132.5580946803093
341,88.18058168888092
342,142.55931115150452
343,117.79490154981613
344,145.34669357538223
345,129.83635711669922
346,129.85613536834717
347,107.07767415046692
348,128.98076313734055
349,135.61872032284737
350,147.03956735134125
351,117.35834005475044
352,110.65789479017258
353,138.40102231502533
354,85.74894759058952
355,154.29685282707214
356,121.4730453491211
357,121.68670144677162
358,89.28556737303734
359,114.9501902461052
360,158.0430270433426
361,103.83223494887352
362,131.86289817094803
363,99.28424927592278
364,120.02393794059753
365,116.74317961931229
366,134.1215621829033
367,146.94642966985703
368,136.07565933465958
369,133.16899371147156
370,135.41458493471146
371,132.50090831518173
372,98.23679730296135
373,97.83495318889618
374,109.39733472466469
375,153.1410415172577
376,136.96068167686462
377,113.67078211903572
378,91.8581041097641
379,130.0223596394062
380,102.98132678866386
381,123.8016881942749
